小区,位置,户型,面积,朝向,装修,楼层,年份,台楼,其他
祥福雅居 ,笋岗,1室0厅 , 31.15平米 , 南 , 毛坯 , 中楼层(共31层) , 2005年建 , 板塔结合,
金城华庭 ,螺岭,1室1厅 , 35.71平米 , 东 , 精装 , 24层 , 2003年建 , 塔楼,
置地逸轩 ,春风路,1室1厅 , 46.91平米 , 南 , 其他 , 低楼层(共33层) , 2005年建 , 板塔结合,
双城世纪 ,罗湖口岸,2室2厅 , 58.76平米 , 南 , 其他 , 高楼层(共29层) , 2007年建 , 板塔结合,
东门金座 ,东门,2室1厅 , 41.35平米 , 南 , 其他 , 中楼层(共22层) , 2004年建 , 塔楼,
阳光天地家园 ,翠竹,1室1厅 , 30.59平米 , 东 , 简装 , 低楼层(共31层) , 2004年建 , 塔楼,
旭飞华达园 ,百仕达,1室1厅 , 35.56平米 , 北 , 其他 , 21层 , 2002年建 , 塔楼,
新天地名居 ,黄贝岭,1室1厅 , 39.27平米 , 东南 , 其他 , 高楼层(共31层) , 2005年建 , 板塔结合,
大中华汇展阁 ,罗湖口岸,1室1厅 , 43平米 , 北 , 精装 , 中楼层(共36层) , 1998年建 , 塔楼,
桐景花园 ,莲塘,2室1厅 , 74.39平米 , 北 , 精装 , 高楼层(共28层) , 2002年建 , 塔楼,
置地逸轩 ,春风路,1室1厅 , 38.44平米 , 西南 西 , 精装 , 中楼层(共33层) , 2005年建 , 板塔结合,
田心庆云花园 ,笋岗,2室2厅 , 57.99平米 , 北 , 简装 , 中楼层(共29层) , 2003年建 , 板塔结合,
天俊大厦 ,春风路,1室1厅 , 39.44平米 , 东北 , 精装 , 高楼层(共26层) , 2005年建 , 塔楼,
新港鸿花园 ,百仕达,2室2厅 , 79.99平米 , 西 , 简装 , 中楼层(共24层) , 1999年建 , 板塔结合,
金丽豪苑 ,翠竹,1室1厅 , 40.03平米 , 北 , 简装 , 中楼层(共30层) , 2000年建 , 板塔结合,
港澳8号 ,东门,2室1厅 , 66.82平米 , 南 , 其他 , 高楼层(共36层) , 2013年建 , 塔楼,
友谊大厦 ,春风路,2室1厅 , 49.26平米 , 南 , 简装 , 高楼层(共24层) , 1984年建 , 塔楼,
海珑华苑 ,螺岭,1室1厅 , 40.54平米 , 南 , 精装 , 28层 , 2000年建 , 塔楼,
丰湖花园 ,清水河,1室1厅 , 39.54平米 , 东南 , 简装 , 中楼层(共26层) , 2005年建 , 板塔结合,
港澳8号 ,东门,2室1厅 , 66.82平米 , 南 , 其他 , 高楼层(共36层) , 2013年建 , 塔楼,
深业东岭二期 ,黄贝岭,3室2厅 , 105.68平米 , 西北 , 精装 , 低楼层(共26层) , 2018年建 , 塔楼,
今日家园 ,布心,3室1厅 , 65.65平米 , 西北 , 其他 , 高楼层(共25层) , 1999年建 , 板塔结合,
深业东岭二期 ,黄贝岭,3室1厅 , 105.1平米 , 西 , 简装 , 中楼层(共26层) , 2018年建 , 塔楼,
今日家园 ,布心,3室2厅 , 68.05平米 , 南 , 精装 , 中楼层(共25层) , 2002年建 , 板塔结合,
中信星光名庭 ,东门,3室2厅 , 113.76平米 , 南 , 精装 , 高楼层(共32层) , 2003年建 , 板塔结合,
百仕达乐湖 ,百仕达,4室2厅 , 180.27平米 , 东南 , 精装 , 低楼层(共34层) , 2008年建 , 塔楼,
双御雅轩 ,布心,4室2厅 , 118.87平米 , 南 , 简装 , 高楼层(共25层) , 2008年建 , 塔楼,
鹏兴花园一期 ,莲塘,3室2厅 , 95.71平米 , 南 , 简装 , 高楼层(共8层) , 1998年建 , 板楼,
鹏兴花园一期 ,莲塘,3室2厅 , 101.23平米 , 南 , 简装 , 低楼层(共8层) , 1999年建 , 板楼,
海富花园 ,黄贝岭,3室2厅 , 84.71平米 , 西北 , 其他 , 中楼层(共32层) , 1991年建 , 板塔结合,
文星花园 ,春风路,3室1厅 , 74.85平米 , 南 , 其他 , 中楼层(共7层) , 1983年建 , 板塔结合,
百仕达花园一期 ,百仕达,3室2厅 , 141平米 , 南 , 其他 , 中楼层(共9层) , 1997年建 , 板楼,
华清园 ,新秀,3室2厅 , 72.72平米 , 南 , 精装 , 中楼层(共17层) , 2000年建 , 塔楼,
东乐花园 ,百仕达,3室2厅 , 111.51平米 , 东北 , 简装 , 中楼层(共32层) , 1994年建 , 板塔结合,
峰景台大厦 ,黄贝岭,4室1厅 , 163.7平米 , 北 , 其他 , 低楼层(共28层) , 1994年建 , 板塔结合,
翠苑大厦 ,百仕达,3室1厅 , 81.63平米 , 北 , 精装 , 高楼层(共25层) , 1997年建 , 塔楼,
嘉年华名苑 ,东门,3室1厅 , 80平米 , 南 , 精装 , 中楼层(共31层) , 2003年建 , 塔楼,
山湖居一期 ,布心,3室2厅 , 80.28平米 , 北 , 简装 , 低楼层(共10层) , 2003年建 , 板塔结合,
庐峰翠苑 ,黄贝岭,4室2厅 , 122.87平米 , 东南 , 精装 , 中楼层(共17层) , 2000年建 , 板塔结合,
海富花园 ,黄贝岭,3室1厅 , 84.71平米 , 西南 , 其他 , 低楼层(共32层) , 1991年建 , 板塔结合,
彩世界家园 ,布心,3室2厅 , 105.77平米 , 北 , 简装 , 低楼层(共31层) , 2002年建 , 板塔结合,
大塘垅小区 ,地王,3室1厅 , 74.28平米 , 南 , 简装 , 中楼层(共7层) , 1984年建 , 板塔结合,
联城美园 ,春风路,3室1厅 , 80.14平米 , 南 , 精装 , 35层 , 2006年建 , 塔楼,
锦上花家园 ,黄贝岭,2室1厅 , 59.34平米 , 南 , 其他 , 低楼层(共32层) , 2003年建 , 板塔结合,
新秀村北区 ,新秀,2室2厅 , 64.8平米 , 西北 , 精装 , 中楼层(共7层) , 1993年建 , 板塔结合,
名骏豪庭 ,莲塘,3室1厅 , 69平米 , 东北 , 精装 , 18层 , 2003年建 , 塔楼,
深业东岭二期 ,黄贝岭,3室2厅 , 87平米 , 东南 , 精装 , 中楼层(共38层) , 2018年建 , 塔楼,
阳光绿地家园 ,百仕达,3室1厅 , 80.62平米 , 西北 , 其他 , 低楼层(共26层) , 2007年建 , 板塔结合,
鸿翔花园 ,地王,3室1厅 , 98平米 , 东北 , 简装 , 高楼层(共32层) , 2006年建 , 塔楼,
卧龙阁 ,新秀,3室2厅 , 83.84平米 , 东南 , 其他 , 低楼层(共33层) , 2000年建 , 板塔结合,
汇鑫花园 ,黄贝岭,3室2厅 , 92.9平米 , 东南 , 其他 , 中楼层(共26层) , 2002年建 , 板楼,
华丽花园 ,螺岭,3室1厅 , 100.45平米 , 东南 , 其他 , 高楼层(共29层) , 1995年建 , 塔楼,
深发花园 ,黄贝岭,3室2厅 , 86.37平米 , 西北 , 简装 , 低楼层(共32层) , 1994年建 , 板塔结合,
鸿业苑三期 ,黄贝岭,4室2厅 , 177平米 , 东南 , 精装 , 高楼层(共30层) , 2004年建 , 塔楼,
鹏兴花园五期 ,莲塘,3室2厅 , 83平米 , 南 , 精装 , 中楼层(共18层) , 2002年建 , 板塔结合,
海丽大厦 ,螺岭,3室1厅 , 75.12平米 , 南 西 , 精装 , 32层 , 1993年建 , 塔楼,
安业花园 ,新秀,3室2厅 , 102.89平米 , 南 西 , 精装 , 高楼层(共7层) , 2002年建 , 平房,
粤海花园 ,春风路,3室1厅 , 89.87平米 , 南 , 其他 , 高楼层(共31层) , 1989年建 , 板塔结合,
汇锦名园 ,螺岭,2室2厅 , 78.1平米 , 东南 , 精装 , 24层 , 2001年建 , 塔楼,
峰景台大厦 ,黄贝岭,3室2厅 , 91.68平米 , 西南 , 精装 , 中楼层(共28层) , 1994年建 , 板塔结合,
宝龙苑 ,百仕达,3室2厅 , 95.59平米 , 南 , 简装 , 中楼层(共8层) , 1994年建 , 板楼,
帝景台 ,新秀,3室2厅 , 87.67平米 , 东南 南 , 精装 , 34层 , 2019年建 , 板塔结合,
翡翠公寓 ,翠竹,2室1厅 , 33.7平米 , 北 , 简装 , 32层 , 2014年建 , 板塔结合,
南方证券大厦 ,春风路,1室1厅 , 43.68平米 , 东南 , 简装 , 中楼层(共29层) , 1998年建 , 板塔结合,
百仕达花园一期 ,百仕达,4室2厅 , 163.2平米 , 南 , 精装 , 低楼层(共32层) , 2003年建 , 板楼,
观山瑞苑 ,布心,2室2厅 , 72.14平米 , 西南 , 精装 , 低楼层(共47层)  , 塔楼,,
旭飞华天苑 ,清水河,1室1厅 , 26.5平米 , 南 , 精装 , 高楼层(共33层) , 2000年建 , 板塔结合,
海丽大厦 ,螺岭,2室1厅 , 75.12平米 , 西北 , 简装 , 32层 , 1993年建 , 塔楼,
金色都汇 ,春风路,2室1厅 , 46.29平米 , 西北 , 精装 , 低楼层(共25层) , 2004年建 , 塔楼,
京基东方都会 ,新秀,1室1厅 , 35.06平米 , 北 , 精装 , 高楼层(共32层) , 2004年建 , 塔楼,
竹园居 ,黄贝岭,2室2厅 , 67.09平米 , 南 , 精装 , 低楼层(共6层)  , 暂无数据,,
新银座华庭 ,罗湖口岸,2室1厅 , 47.55平米 , 南 , 精装 , 31层 , 2005年建 , 塔楼,
金色都汇 ,春风路,2室2厅 , 46平米 , 东南 , 简装 , 高楼层(共25层) , 2004年建 , 板楼,
环岛丽园 ,螺岭,2室1厅 , 72.19平米 , 西北 , 其他 , 低楼层(共33层) , 2002年建 , 塔楼,
庐山花园 ,罗湖口岸,3室2厅 , 91.05平米 , 东南 , 简装 , 中楼层(共30层) , 1995年建 , 塔楼,
风格名苑 ,地王,1室1厅 , 47.98平米 , 西南 , 其他 , 27层 , 2006年建 , 板塔结合,
嘉景苑 ,笋岗,2室1厅 , 57.43平米 , 南 , 简装 , 低楼层(共15层) , 1999年建 , 板塔结合,
雅仕居 ,清水河,1室1厅 , 35.88平米 , 西南 , 简装 , 高楼层(共19层) , 2001年建 , 板塔结合,
风格名苑 ,地王,1室1厅 , 47.98平米 , 西南 , 其他 , 27层 , 2006年建 , 板塔结合,
庐山花园 ,罗湖口岸,3室2厅 , 91.05平米 , 东南 , 简装 , 中楼层(共30层) , 1995年建 , 塔楼,
愉天小区 ,翠竹,1室1厅 , 43.1平米 , 东 , 简装 , 8层 , 1992年建 , 板楼,
聚龙大厦 ,螺岭,1室1厅 , 33.98平米 , 北 , 精装 , 低楼层(共31层) , 2001年建 , 塔楼,
旭飞华天苑 ,清水河,1室0厅 , 15.38平米 , 东南 , 简装 , 中楼层(共31层) , 2000年建 , 板塔结合,
东乐花园 ,百仕达,2室1厅 , 69.44平米 , 南 , 简装 , 低楼层(共7层) , 1988年建 , 板塔结合,
雍翠华府 ,布心,2室2厅 , 51.47平米 , 南 , 精装 , 35层 , 2004年建 , 塔楼,
颖隆大厦 ,布心,2室1厅 , 51.96平米 , 南 , 精装 , 低楼层(共33层) , 2003年建 , 板塔结合,
渔民村 ,罗湖口岸,1室1厅 , 35平米 , 南 , 简装 , 低楼层(共20层) , 2004年建 , 板塔结合,
翠盈嘉园 ,洪湖,2室1厅 , 66.22平米 , 南 , 精装 , 低楼层(共34层) , 2003年建 , 塔楼,
长丰苑 ,春风路,1室0厅 , 38.8平米 , 东 , 其他 , 29层 , 1999年建 , 板塔结合,
百仕达花园一期 ,百仕达,2室1厅 , 76.53平米 , 东南 南 , 精装 , 中楼层(共8层) , 1997年建 , 板楼,
友谊大厦 ,春风路,2室1厅 , 42.47平米 , 东北 , 简装 , 中楼层(共24层) , 1984年建 , 塔楼,
东门168 ,螺岭,2室1厅 , 61.51平米 , 南 , 精装 , 29层 , 2005年建 , 塔楼,
金城大厦 ,春风路,2室1厅 , 37.17平米 , 西 , 其他 , 中楼层(共23层) , 1994年建 , 板塔结合,
联城美园 ,春风路,1室1厅 , 34.97平米 , 东南 , 精装 , 35层 , 2006年建 , 塔楼,
君逸华府 ,布心,2室2厅 , 72.31平米 , 东北 , 精装 , 高楼层(共32层) , 2002年建 , 塔楼,
深业东岭一期 ,黄贝岭,2室1厅 , 59.64平米 , 西 , 精装 , 中楼层(共41层) , 2017年建 , 塔楼,
京基东方华都 ,螺岭,2室2厅 , 61.21平米 , 南 , 简装 , 低楼层(共32层) , 2005年建 , 板塔结合,
鹏基公寓 ,莲塘,1室0厅 , 30.45平米 , 南 , 精装 , 低楼层(共8层) , 1993年建 , 板楼,
金城大厦 ,春风路,2室1厅 , 37.17平米 , 南 , 简装 , 中楼层(共23层) , 1984年建 , 板塔结合,
阳光天地家园 ,翠竹,2室1厅 , 62.52平米 , 东 , 精装 , 中楼层(共32层) , 2004年建 , 塔楼,
松泉公寓 ,布心,1室1厅 , 34.5平米 , 东南 , 精装 , 中楼层(共8层) , 1988年建 , 板塔结合,
明德公馆 ,翠竹,1室1厅 , 48.5平米 , 东南 , 其他 , 中楼层(共22层) , 2016年建 , 塔楼,
城市天地广场 ,万象城,1室1厅 , 50.59平米 , 北 , 精装 , 中楼层(共41层) , 2005年建 , 板塔结合,
缤纷时代家园 ,螺岭,1室1厅 , 28.83平米 , 东南 , 精装 , 中楼层(共32层) , 2004年建 , 板塔结合,
锦上花家园 ,黄贝岭,2室1厅 , 60.7平米 , 西北 , 精装 , 中楼层(共33层) , 2003年建 , 板塔结合,
源兴居 ,洪湖,1室0厅 , 23.55平米 , 西南 , 精装 , 高楼层(共32层) , 2002年建 , 板塔结合,
骏庭名园 ,地王,2室1厅 , 57.95平米 , 东北 , 精装 , 中楼层(共31层) , 2001年建 , 板塔结合,
旭飞华达园 ,百仕达,2室1厅 , 40.26平米 , 东南 , 精装 , 21层 , 2002年建 , 塔楼,
锦上花家园 ,黄贝岭,2室1厅 , 60.7平米 , 西北 , 精装 , 中楼层(共33层) , 2003年建 , 板塔结合,
银座金钻 ,春风路,1室1厅 , 38平米 , 南 , 精装 , 中楼层(共30层) , 2003年建 , 板塔结合,
新天地名居 ,黄贝岭,1室1厅 , 38.4平米 , 东南 , 简装 , 中楼层(共31层) , 2005年建 , 板塔结合,
金城华庭 ,螺岭,1室1厅 , 39.08平米 , 东南 , 精装 , 24层 , 2003年建 , 塔楼,
金城华庭 ,螺岭,2室1厅 , 50.67平米 , 东南 , 简装 , 24层 , 2003年建 , 塔楼,
东方凤雅台 ,莲塘,2室1厅 , 56.71平米 , 北 , 精装 , 高楼层(共9层) , 2002年建 , 板塔结合,
联城美园 ,春风路,2室1厅 , 60.86平米 , 东南 , 其他 , 35层 , 2006年建 , 塔楼,
云景豪园 ,春风路,1室1厅 , 47.13平米 , 东南 南 , 精装 , 低楼层(共29层) , 2002年建 , 板塔结合,
西湖大厦 ,地王,2室1厅 , 66.7平米 , 东 , 精装 , 中楼层(共14层) , 1999年建 , 板塔结合,
东门天下 ,东门,1室1厅 , 47平米 , 东南 , 精装 , 中楼层(共31层) , 2005年建 , 塔楼,
彩世界家园 ,布心,2室1厅 , 67.03平米 , 东南 , 精装 , 中楼层(共21层) , 2002年建 , 板塔结合,
置地逸轩 ,春风路,2室1厅 , 58.33平米 , 南 , 精装 , 高楼层(共33层) , 2005年建 , 板塔结合,
天井湖小区 ,黄贝岭,2室1厅 , 61.79平米 , 南 , 精装 , 中楼层(共7层) , 1994年建 , 塔楼,
金源大厦 ,春风路,1室1厅 , 39.22平米 , 西 , 其他 , 中楼层(共24层) , 1995年建 , 板塔结合,
大中华汇展阁 ,罗湖口岸,1室0厅 , 43.36平米 , 东南 , 精装 , 中楼层(共36层) , 1998年建 , 塔楼,
金色年华家园 ,莲塘,1室1厅 , 37.66平米 , 北 , 精装 , 27层 , 2005年建 , 塔楼,
新银座华庭 ,罗湖口岸,2室1厅 , 65.19平米 , 北 , 简装 , 31层 , 2005年建 , 塔楼,
旭飞华达园 ,百仕达,1室0厅 , 19.97平米 , 南 , 简装 , 24层 , 2001年建 , 塔楼,
金色都汇 ,春风路,1室1厅 , 45.15平米 , 西北 , 其他 , 低楼层(共25层) , 2004年建 , 板楼,
愉天小区 ,翠竹,1室1厅 , 34.9平米 , 南 , 简装 , 7层 , 1991年建 , 板楼,
金盾花园 ,螺岭,3室1厅 , 69.28平米 , 南 , 精装 , 低楼层(共5层)  , 暂无数据,,
兴业大厦 ,春风路,2室1厅 , 52.6平米 , 南 , 其他 , 19层 , 1984年建 , 塔楼,
缤纷时代家园 ,螺岭,2室1厅 , 57.01平米 , 北 , 精装 , 高楼层(共33层) , 2004年建 , 板塔结合,
京基东方颐园 ,螺岭,2室1厅 , 42.56平米 , 北 , 精装 , 高楼层(共33层) , 2010年建 , 塔楼,
翠竹苑 ,百仕达,2室1厅 , 52.02平米 , 南 , 简装 , 中楼层(共6层) , 1982年建 , 板塔结合,
长丰苑 ,春风路,2室1厅 , 62平米 , 南 , 精装 , 29层 , 1999年建 , 板塔结合,
依仙湖居 ,莲塘,1室1厅 , 33.29平米 , 南 , 精装 , 中楼层(共7层) , 1997年建 , 板楼,
国际名园 ,春风路,1室1厅 , 46平米 , 东 , 简装 , 高楼层(共31层) , 2004年建 , 板塔结合,
联城美园 ,春风路,2室1厅 , 64平米 , 南 , 其他 , 35层 , 2006年建 , 塔楼,
蕙兰雅居 ,莲塘,2室2厅 , 76.45平米 , 东 , 精装 , 高楼层(共16层) , 2004年建 , 板塔结合,
大滩大厦 ,罗湖口岸,2室1厅 , 71.64平米 , 西 , 精装 , 高楼层(共26层) , 1988年建 , 塔楼,
阳光新干线家园 ,春风路,1室1厅 , 39.6平米 , 西南 , 简装 , 低楼层(共33层) , 2005年建 , 塔楼,
青湖山庄 ,清水河,3室2厅 , 70.21平米 , 南 , 简装 , 低楼层(共8层) , 2002年建 , 板塔结合,
联城美园 ,春风路,1室1厅 , 33.41平米 , 西 , 精装 , 35层 , 2006年建 , 塔楼,
旭飞华天苑 ,清水河,1室0厅 , 15.42平米 , 东南 , 精装 , 中楼层(共33层) , 2000年建 , 板塔结合,
东门168 ,螺岭,1室0厅 , 22.89平米 , 东南 , 精装 , 24层 , 2005年建 , 塔楼,
国际名园 ,春风路,1室0厅 , 24.01平米 , 东 , 简装 , 低楼层(共31层) , 2004年建 , 板塔结合,
深业东岭一期 ,黄贝岭,3室2厅 , 74.75平米 , 东北 , 简装 , 高楼层(共41层) , 2017年建 , 塔楼,
碧岭华庭 ,布心,2室2厅 , 84.54平米 , 西南 , 精装 , 高楼层(共34层) , 2003年建 , 塔楼,
长丰苑 ,春风路,1室1厅 , 44.47平米 , 西北 , 其他 , 29层 , 1999年建 , 板塔结合,
旭飞华天苑 ,清水河,1室0厅 , 15.38平米 , 南 , 精装 , 高楼层(共31层) , 2000年建 , 板塔结合,
东门168 ,螺岭,1室0厅 , 22.78平米 , 南 , 简装 , 24层 , 2005年建 , 塔楼,
缤纷时代家园 ,螺岭,2室2厅 , 59.59平米 , 北 , 精装 , 中楼层(共33层) , 2004年建 , 板塔结合,
航天晴山月 ,莲塘,5室2厅 , 168平米 , 南 北 , 精装 , 低楼层(共28层) , 2009年建 , 板楼,
汇鑫花园 ,黄贝岭,3室1厅 , 64.56平米 , 东北 , 简装 , 中楼层(共26层) , 2002年建 , 板塔结合,
碧波花园南区 ,黄贝岭,4室2厅 , 156.29平米 , 南 北 , 简装 , 低楼层(共10层)  , 板楼,,
合正锦园南区 ,莲塘,3室2厅 , 123.36平米 , 南 , 精装 , 中楼层(共11层) , 2005年建 , 板塔结合,
畔山花园 ,莲塘,4室2厅 , 116.65平米 , 北 , 精装 , 低楼层(共8层) , 1996年建 , 板楼,
金色都汇 ,春风路,6室2厅 , 88.51平米 , 东南 , 精装 , 高楼层(共25层) , 2004年建 , 板楼,
华景园别墅南区 ,莲塘,5室2厅 , 212.54平米 , 南 北 , 精装 , 1层 , 2002年建 , 板楼,
金色年华家园 ,莲塘,2室1厅 , 36.08平米 , 南 , 精装 , 26层 , 2005年建 , 塔楼,
四季御园 ,莲塘,4室1厅 , 85.33平米 , 南 , 毛坯 , 低楼层(共39层) , 2015年建 , 板塔结合,
合正锦园北区 ,莲塘,3室2厅 , 126.72平米 , 南 北 , 其他 , 中楼层(共11层) , 2005年建 , 板塔结合,
金色年华家园 ,莲塘,2室1厅 , 62.45平米 , 北 , 精装 , 26层 , 2005年建 , 塔楼,
兴业大厦 ,春风路,3室1厅 , 59.27平米 , 西南 , 简装 , 19层 , 1984年建 , 塔楼,
百仕达花园一期 ,百仕达,5室2厅 , 200.11平米 , 南 北 , 精装 , 高楼层(共9层) , 1997年建 , 板楼,
万科彩园 ,东门,6室1厅 , 192平米 , 东 , 简装 , 低楼层(共31层) , 1999年建 , 板塔结合,
曦龙山庄 ,新秀,4室2厅 , 170.8平米 , 东南 , 简装 , 低楼层(共9层) , 2001年建 , 板塔结合,
海洋大厦 ,黄贝岭,2室1厅 , 75.91平米 , 南 , 其他 , 中楼层(共16层) , 2003年建 , 板塔结合,
聚龙大厦 ,螺岭,5室2厅 , 236.6平米 , 南 , 其他 , 高楼层(共31层) , 2001年建 , 塔楼,
东方凤雅台 ,莲塘,5室2厅 , 232.07平米 , 东南 , 精装 , 高楼层(共15层) , 2002年建 , 塔楼,
深宝住宅区 ,翠竹,3室2厅 , 104.94平米 , 南 , 简装 , 8层 , 1985年建 , 板塔结合,
仙泉山庄 ,莲塘,7室2厅 , 197平米 , 南 , 精装 , 低楼层(共2层)  , 暂无数据,,
松泉阁 ,布心,5室2厅 , 203.75平米 , 南 , 精装 , 高楼层(共20层) , 2005年建 , 塔楼,
维富大厦 ,布心,3室2厅 , 126.36平米 , 西南 , 其他 , 高楼层(共31层) , 2002年建 , 板塔结合,
金湖山庄 ,银湖,8室2厅 , 387.23平米 , 东 , 精装 , 3层 , 1991年建 , 板塔结合 , 联排别墅 
东方凤雅台 ,莲塘,5室3厅 , 200.11平米 , 南 北 , 精装 , 高楼层(共9层) , 2003年建 , 板塔结合,
深宝住宅区 ,翠竹,3室2厅 , 83.32平米 , 南 , 其他 , 6层 , 1985年建 , 板塔结合,
鸿翔花园 ,地王,3室2厅 , 117.92平米 , 东南 , 简装 , 中楼层(共30层) , 2005年建 , 板塔结合,
鹏兴花园六期 ,莲塘,2室1厅 , 77.5平米 , 北 , 其他 , 中楼层(共11层) , 2003年建 , 板楼,
布心花园二区 ,布心,3室2厅 , 107.95平米 , 南 北 , 其他 , 中楼层(共7层) , 1987年建 , 板楼,
银座金钻 ,春风路,1室1厅 , 44.04平米 , 东南 , 其他 , 高楼层(共30层) , 2003年建 , 板塔结合,
南塘物业小区 ,东门,2室1厅 , 52.21平米 , 南 , 其他 , 高楼层(共25层) , 2007年建 , 板塔结合,
云景豪园 ,春风路,3室1厅 , 119.54平米 , 西北 , 精装 , 中楼层(共29层) , 2002年建 , 板塔结合,
四季御园 ,莲塘,3室2厅 , 89.45平米 , 南 , 精装 , 中楼层(共44层) , 2015年建 , 塔楼,
京基东方都会 ,新秀,1室1厅 , 35.18平米 , 东 , 其他 , 高楼层(共32层) , 2004年建 , 塔楼,
银座金钻 ,春风路,1室1厅 , 37.53平米 , 南 , 精装 , 中楼层(共30层) , 2003年建 , 板塔结合,
田贝新村 ,洪湖,4室2厅 , 111.4平米 , 南 , 其他 , 高楼层(共7层) , 1993年建 , 板塔结合,
128大院 ,东门,4室2厅 , 170平米 , 南 , 其他 , 中楼层(共7层) , 1986年建 , 板楼,
兆鑫汇金广场 ,春风路,3室2厅 , 117.7平米 , 南 北 , 其他 , 高楼层(共43层)  , 暂无数据,,
都市名园 ,万象城,6室2厅 , 267平米 , 东北 , 精装 , 中楼层(共32层) , 2000年建 , 平房,
天景花园 ,黄贝岭,4室2厅 , 127.84平米 , 南 , 精装 , 高楼层(共7层)  , 板楼,,
东方凤雅台 ,莲塘,4室2厅 , 193.52平米 , 南 , 简装 , 高楼层(共9层) , 2002年建 , 板楼,
宝丰大厦罗湖区 ,春风路,3室1厅 , 106.24平米 , 南 北 , 其他 , 中楼层(共15层) , 1990年建 , 塔楼,
金色都汇 ,春风路,3室2厅 , 69.38平米 , 北 , 精装 , 中楼层(共25层) , 2004年建 , 塔楼,
华民大厦 ,罗湖口岸,2室1厅 , 65.7平米 , 西南 , 精装 , 高楼层(共28层) , 1993年建 , 板塔结合,
